ssn,name,phone,cfphone,str,city,cc
TIIML78,Heyderhoff,18175,0.58,QnForay73,Elko,39780
NJZKP43,Farhi,33798,0.61,QpOjlof39,Toulouse,24792
HZIQZ60,Turnbull,28661,0.47,FgHrgnt58,Albuquerque,25571
PHMYT01,Frison,4963,0.80,LkYgppd67,Worcester,8683
FECAN40,Tavangarian,22516,0.87,KpBngyd43,Austin,29080
VQRAS43,Marathe,30482,0.56,OrQuelg11,Tallahassee,37176
YIHTO59,Feber,1439,0.52,OkJksdw71,Spokane,33894
TIKXX48,Luan,4923,0.63,HxQdpyh89,Copenhagen,6891
OOITQ91,Rommel,38206,0.15,ZvAtojg34,Colorado,19383
WTFUT09,Szpakowicz,8498,0.92,TaSgbvh50,Charleston,28615
YQXPY49,Nagasaka,32895,0.41,PuBxvjn66,Bucharest,15062
PKBLA14,Streich,10381,0.29,RhSvpod51,Lome,33976
HXWZW10,Dangedej,861,0.81,TwUvmds05,Montgomery,39884
ONUTT08,Tamm,24799,0.65,YbAcfbc03,Copenhagen,11851
WATSD00,Kinley,9136,0.65,ZsEdelo35,Turin,33166
EZTNY01,Sydow,35163,0.57,BaYeuya67,Bermuda,14411
GMDPN19,Kriegel,2918,0.91,TrVpmfv95,Copenhagen,12432
BFTGG91,Corey,30683,0.15,FnYaqgf40,Brussels,19687
CFLYS86,Waksman,7433,0.92,EjLcaep53,Memphis,29609
KDUUF34,Elhardt,2685,0.63,ZpWlllb62,Syracuse,37942
WKPWU67,Petroski,8282,0.78,OzHdqli60,Honolulu,26058
SAJAD20,Birattari,16958,0.31,UfSvnxe02,Casper,22025
JXATC41,Madeira,26755,0.84,CdUcmqe30,Hamburg,38281
VAKUP20,Pietak,32031,0.29,YaUgqtl14,Gunnison,27693
UBKKL99,Zeltzer,17888,0.93,IhPtrmp08,Milan,10026
JANXS15,Janson,21988,0.81,XfNlloq74,Salvador,16077
NBGLD82,Welcome,4806,0.73,RmJdcjv68,Newcastle,15468
FPZBX61,Pantano,29532,0.27,WzBtzbj83,Columbus,4277
QHAXQ17,Tate,31921,0.83,ThCbuxe87,Shreveport,22375
MWNRO96,Priess,16772,0.80,OgAgloa53,Orange,347
QVHYZ85,Okurowski,4812,0.19,TuFdjri47,Oklahoma,17233
RAADW70,Benoit,810,0.58,NuTgyzg08,Fairbanks,10959
CSCGG23,Weinberg,978,0.50,JyVkyhv76,Mazatlan,34182
QTBAX13,Imam,19940,0.80,OiIerqe29,Brussels,18168
OZGKG15,Bisiani,17898,0.96,ZxKmkbw38,Columbus,26403
ZRJIL33,Crosby,21682,0.50,TbBerhh53,El,27270
QMWTN17,Roelofsen,1772,0.76,TsNfmng53,Stuttgart,19924
UQKVO77,Skeel,3645,0.48,ZiJcopl31,Valdosta,5171
TFYYI53,Cannell,730,0.16,FcKmupi39,Calgary,28562
EOJVD45,Creecy,32063,0.14,AeNcdfq06,Orlando,31532
FOKMP01,Agius,38251,0.17,QlUmuxv86,Sacramento,15899
XOVXX92,Stickel,23457,0.99,HyWqbvw86,Appleton,10950
YHBRW51,Pathak,35208,0.38,RlDotri83,Pittsburgh,484
YNQWD55,Krinik,1392,0.14,MiWhged55,Buffalo,31560
MBRIY90,Trehan,30907,0.72,OnJbpcr46,Buffalo,27952
NDLBY58,Roetter,23752,0.65,NcLuvhe10,Jackson,33825
IFVAL36,Dolins,21749,0.30,XkOgwzx84,Long,16797
HXZAU85,Schrott,9050,0.58,UgZtczq09,Cedar,135
CQIJQ79,Mussi,3403,0.90,PwNndmm02,Columbia,7375
OMPTI68,Pogrzeba,33466,0.59,DpRdipf72,Meridian,12288
KTJQA14,Rosencrans,23366,0.63,SqAlzeb01,Fairbanks,17304
WSZDG89,Balcom,31918,0.71,MzOsgfu97,Sao,10304
ETDHR25,Mahoui,33993,0.12,NmHpfha10,Budapest,35422
TYDCD19,Lagendijk,12325,0.35,MdRaavf50,Albany,25810
ABXMS50,Vrecion,34173,0.30,RnAslwx79,Fortaleza,4350
FXCLF36,Cosma,14032,0.78,PdMbgma98,Dayton,4953
JKFHH52,Bruguera,15981,0.77,HtNghze32,Orange,194
